2026-05-12_11-39-45,0,draft.go:2026-05-12_11-39-45
2026-05-12_11-47-10,40,draft.go:2026-05-12_11-47-10
2026-05-12_11-48-31,45,draft.go:2026-05-12_11-48-31
2026-05-12_11-50-37,45,draft.go:2026-05-12_11-50-37
2026-05-12_11-50-54,45,draft.go:2026-05-12_11-50-54
2026-05-12_11-51-28,45,draft.go:2026-05-12_11-51-28
2026-05-12_11-52-17,55,draft.go:2026-05-12_11-52-17
2026-05-12_11-52-29,---,draft.go:2026-05-12_11-52-17
2026-05-12_11-53-22,55,draft.go:2026-05-12_11-53-22
2026-05-12_11-55-05,55,draft.go:2026-05-12_11-55-05
2026-05-12_11-55-24,---,draft.go:2026-05-12_11-55-05
2026-05-12_11-58-15,90,draft.go:2026-05-12_11-58-15
2026-05-12_12-00-48,0,draft.go:2026-05-12_12-00-48
2026-05-12_12-01-09,95,draft.go:2026-05-12_12-01-09
2026-05-12_12-07-24,85,draft.go:2026-05-12_12-07-24
2026-05-12_12-09-40,55,draft.go:2026-05-12_12-09-40
2026-05-12_12-13-31,85,draft.go:2026-05-12_12-13-31
2026-05-12_12-15-08,80,draft.go:2026-05-12_12-15-08
2026-05-12_12-16-53,10,draft.go:2026-05-12_12-16-53
2026-05-12_12-19-45,45,draft.go:2026-05-12_12-19-45
2026-05-12_12-21-51,95,draft.go:2026-05-12_12-21-51
2026-05-12_12-24-00,95,draft.go:2026-05-12_12-24-00
2026-05-12_12-24-52,---,draft.go:2026-05-12_12-24-00
2026-05-12_12-26-01,55,draft.go:2026-05-12_12-26-01
2026-05-12_12-26-31,55,draft.go:2026-05-12_12-26-31
2026-05-12_12-26-33,55,draft.go:2026-05-12_12-26-31
2026-05-12_12-26-56,95,draft.go:2026-05-12_12-26-56
2026-05-12_12-27-45,95,draft.go:2026-05-12_12-27-45
2026-05-12_12-28-01,---,draft.go:2026-05-12_12-27-45
2026-05-12_17-11-13,95,draft.go:2026-05-12_12-27-45
2026-05-12_17-12-57,65,draft.go:2026-05-12_17-12-57
2026-05-12_17-13-43,55,draft.go:2026-05-12_17-13-43
2026-05-12_17-14-12,95,draft.go:2026-05-12_17-14-12
2026-05-12_17-16-25,---,draft.go:2026-05-12_17-16-25
2026-05-12_17-16-50,55,draft.go:2026-05-12_17-16-25
2026-05-12_17-16-53,55,draft.go:2026-05-12_17-16-25
2026-05-12_17-17-08,95,draft.go:2026-05-12_17-17-08
2026-05-12_17-19-06,55,draft.go:2026-05-12_17-19-06
2026-05-12_17-20-33,10,draft.go:2026-05-12_17-20-33
2026-05-12_17-23-20,75,draft.go:2026-05-12_17-23-20
2026-05-12_17-25-00,75,draft.go:2026-05-12_17-25-00
2026-05-12_17-25-22,40,draft.go:2026-05-12_17-25-22
2026-05-12_17-27-12,35,draft.go:2026-05-12_17-27-12
2026-05-12_17-29-33,45,draft.go:2026-05-12_17-29-33
2026-05-12_17-30-42,90,draft.go:2026-05-12_17-30-42
2026-05-12_17-31-47,90,draft.go:2026-05-12_17-31-47
2026-05-12_17-35-13,0,draft.go:2026-05-12_17-35-13
2026-05-12_17-35-20,10,draft.go:2026-05-12_17-35-20
2026-05-12_17-39-22,45,draft.go:2026-05-12_17-39-22
2026-05-12_17-40-03,45,draft.go:2026-05-12_17-40-03
2026-05-12_17-42-41,10,draft.go:2026-05-12_17-42-41
2026-05-12_17-46-17,45,draft.go:2026-05-12_17-46-17
2026-05-12_17-47-31,75,draft.go:2026-05-12_17-47-31
2026-05-12_17-49-51,85,draft.go:2026-05-12_17-49-51
2026-05-12_17-50-27,100,draft.go:2026-05-12_17-50-27
